STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-27,0.46,84,67
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-28,0.24,79,66
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-29,0,80,62
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-30,0,91,62
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-05-31,0,98,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-01,0.54,71,62
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-02,0.15,86,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-03,0,80,68
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-04,0,87,62
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-05,0,80,58
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-06,0,85,60
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-07,0.05,83,61
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-08,0.02,87,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-09,0.78,87,68
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-10,0,83,63
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-11,0,80,66
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-12,0.06,76,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-13,0,92,69
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2022-06-14,0,87,69
